WWR,Westwater Resources Inc
AEL,American Equity Investment Life Holding Company
GPOR,Gulfport Energy Corporation
CBIO,Catalyst Biosciences Inc
YGYI,Youngevity International Inc
AERI,Aerie Pharmaceuticals Inc
PPSI,Pioneer Power Solutions Inc
HIHO,Highway Holdings Limited
KIRK,Kirklands Inc
NNDM,Nano Dimension Ltd
RAPT,RAPT Therapeutics Inc
VIE,Viela Bio Inc
FLUX,Flux Power Holdings Inc
MLPO,Credit Suisse S&P MLP Index ETN
BNSO,Bonso Electronics International Inc
PFMT,Performant Financial Corporation
RWLK,ReWalk Robotics Ltd
CRDF,Cardiff Oncology Inc
BTAI,BioXcel Therapeutics Inc
ORGO,Organogenesis Holdings Inc
TZAC,Tenzing Acquisition Corp
AAU,Almaden Minerals Ltd
LOOP,Loop Industries Inc
FORD,Forward Industries Inc
KLDO,Kaleido Biosciences Inc
CVV,CVD Equipment Corporation
MNSO,MINISO Group Holding Limited
AFYA,Afya Limited
CKPT,Checkpoint Therapeutics Inc
MDRR,Medalist Diversified REIT Inc
ADAP,Adaptimmune Therapeutics plc
SURF,Surface Oncology Inc
PENN,Penn National Gaming Inc
BCLI,Brainstorm Cell Therapeutics Inc
CEI,Camber Energy Inc
PVL,Permianville Royalty Trust
HGEN,Humanigen Inc
PED,PEDEVCO Corp
USAK,USA Truck Inc
TFFP,TFF Pharmaceuticals Inc
export,
